person,cnpj_basico,cnpj_14,razao_social,cnae_fiscal,situacao_cadastral,qualificacao_socio
HENRIQUE MOURA VORCARO,26112396,26112396000152,MOUNTAIN PARTICIPACOES S.A.,6463800,2,10
HENRIQUE MOURA VORCARO,30753530,30753530000171,GNI11 EMPREENDIMENTOS IMOBILIARIOS S.A.,6810202,2,16
HENRIQUE MOURA VORCARO,40134337,40134337000106,GOLDEN IMOVEIS LTDA.,6810201,2,5
HENRIQUE MOURA VORCARO,34022542,34022542000187,LABORATORIO CONCEICAO APARECIDA LTDA,8640202,8,49
HENRIQUE MOURA VORCARO,41982130,41982130000154,VEM SORRIR CLINICA DO POVO LTDA,8630504,2,49
HENRIQUE MOURA VORCARO,44222273,44222273000156,LIFE HOLDING LTDA,6462000,2,5
HENRIQUE MOURA VORCARO,65046397,65046397000106,TROPEIRO LOCACOES LTDA,7711000,2,49
HENRIQUE MOURA VORCARO,19088764,19088764000109,SB SOUZA COMERCIAL LTDA,4743100,2,49
HENRIQUE MOURA VORCARO,07858291,07858291000100,MERCATTO INCORPORACOES IMOBILIARIAS LTDA,4110700,2,5
HENRIQUE MOURA VORCARO,26417440,26417440000132,MOUNTAIN II PARTICIPACOES S.A.,6463800,2,10
HENRIQUE MOURA VORCARO,26801656,26801656000105,REINO PARTICIPACOES S.A.,6462000,2,16
HENRIQUE MOURA VORCARO,27077375,27077375000106,INTER PARTICIPACOES LTDA,6462000,2,5
HENRIQUE MOURA VORCARO,35424420,35424420000180,PORTO HOLDING S.A.,6462000,2,10
HENRIQUE MOURA VORCARO,37122754,37122754000124,REDE IMOBILIARIA LTDA.,6810201,2,5
HENRIQUE MOURA VORCARO,37779655,37779655000110,LCN MERCEARIA E COMERCIO DE BEBIDAS LTDA,4723700,2,49
HENRIQUE MOURA VORCARO,47887941,47887941000152,RIO PARTICIPACOES LTDA.,6463800,2,5
HENRIQUE MOURA VORCARO,60287268,60287268000188,DAVALOVI ENGENHARIA E CONSTRUCAO LTDA,7112000,2,49
HENRIQUE MOURA VORCARO,01749262,01749262000116,CSS EMPREENDIMENTOS E PARTICIPACOES LTDA,7020400,8,49
HENRIQUE MOURA VORCARO,04608598,04608598000157,SPE CESTO INCORPORADORA S.A.,4110700,2,16
HENRIQUE MOURA VORCARO,64411119,64411119000130,AGUA E TERRA AGROPECUARIA LTDA,2029100,2,5
HENRIQUE MOURA VORCARO,07805801,07805801000173,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,6462000,2,16
HENRIQUE MOURA VORCARO,06961287,06961287000100,ELEICOES 2004 CF - PIRANGUCU - MG - COMITE FINANC MUN P/VEREADOR - PL,9492800,8,16
DANIEL BUENO VORCARO,63803682,63803682000190,ANDREA MENDES SANCHEZ CAVALERO MEDICINA LTDA,8630599,2,49
DANIEL BUENO VORCARO,13332529,13332529000154,VIA EXPRESSA S/A,6462000,2,5
DANIEL BUENO VORCARO,48283018,48283018000174,JA CONSTRUCOES PIMENTA LTDA,4120400,2,49
DANIEL BUENO VORCARO,04154896,04154896000114,BM ATIVIDADES IMOBILIARIAS S/A,6462000,3,10
DANIEL BUENO VORCARO,08068805,08068805000189,RENATO BARROS VILELA E FILHOS LTDA,810006,2,22
DANIEL BUENO VORCARO,10197637,10197637000173,RESTAURANTE SABOR CARIOCA LTDA,5611201,4,49
DANIEL BUENO VORCARO,10560851,10560851000142,URZEDO & SAMPAIO ADVOGADOS ASSOCIADOS,6911701,2,52
DANIEL BUENO VORCARO,22921619,22921619000171,ORION BH DESENVOLVIMENTO IMOBILIARIO SPE LTDA,4110700,8,5
DANIEL BUENO VORCARO,09526594,09526594000143,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,6431000,2,16
DANIEL BUENO VORCARO,32965267,32965267000100,DR FELIPE DUARTE AUGUSTO NEUROCIRURGIA E DOR LTDA,8630503,2,49
DANIEL BUENO VORCARO,59993209,59993209000146,VERTICE LICITA LTDA,4789007,2,49
DANIEL BUENO VORCARO,07322591,07322591000162,ASSOCIACAO COMUNITARIA DOS MORADORES LAGOA BONITA DO MUNICIPIO DE IGUATAMA MG,9430800,2,16
DANIEL BUENO VORCARO,17004527,17004527000197,SGP BRASIL LTDA,4649410,8,30
DANIEL BUENO VORCARO,31429779,31429779000199,APIA ASSESSORIA E CONSULTORIA ADMINISTRATIVA E IMOBILIARIA LTDA,6821801,8,49
DANIEL BUENO VORCARO,46459239,46459239000125,STAR MUSIC LTDA,5920100,2,5
DANIEL BUENO VORCARO,30157849,30157849000134,VINC CONSULTORIA E INVESTIMENTOS LTDA.,6463800,2,5
DANIEL BUENO VORCARO,49176387,49176387000120,EBM ENGENHARIA LTDA,7112000,2,49
DANIEL BUENO VORCARO,54043545,54043545000104,MASTER HOLDING FINANCEIRA SERVICOS S.A.,6461100,2,10
DANIEL BUENO VORCARO,51725301,51725301000113,"J RODRIGUES PLANEJAMENTO FISCAL, SOCIETARIO E SUCESSORIO LTDA",6920602,2,49
DANIEL BUENO VORCARO,57445179,57445179000108,DV HOLDING FINANCEIRA SA,6461100,2,16
DANIEL BUENO VORCARO,22379986,22379986000195,SUPERMERCADO YAMAMOTO LTDA,4711302,8,22
DANIEL BUENO VORCARO,07506883,07506883000155,ELETROLUZ UBERABA LTDA,4742300,8,49
DANIEL BUENO VORCARO,28770133,28770133000166,HEDGEHOG TRADING TECHNOLOGY INFORMATICA LTDA,8599603,2,49
DANIEL BUENO VORCARO,48861255,48861255000175,TEIXEIRA E TOLEDO SERVICOS MEDICOS LTDA,8630503,8,49
DANIEL BUENO VORCARO,55997450,55997450000192,MASTER SERVICOS S.A.,6462000,2,16
DANIEL BUENO VORCARO,03511571,03511571000189,MARV CONSTRUTORA LTDA.,7112000,8,49
DANIEL BUENO VORCARO,03078970,03078970000106,REPRESENTATIVA R&F REPRESENTACOES COMERCIAIS LTDA,4619200,2,22
DANIEL BUENO VORCARO,07875796,07875796000175,VIKING PARTICIPACOES LTDA,6462000,2,22
DANIEL BUENO VORCARO,02156309,02156309000109,ACADEMIA HEALTH PLACE LTDA,9313100,4,49
DANIEL BUENO VORCARO,08326009,08326009000107,JULIANA SANTOS ROCHA E CIA LTDA,4756300,2,22
DANIEL BUENO VORCARO,21746840,21746840000178,CENTRO ODONTOLOGICO ANA BEATRIZ LTDA,8630504,2,49
DANIEL BUENO VORCARO,33606056,33606056000143,MAE PANIFICADORA E LANCHONETE LTDA,5611203,2,49
DANIEL BUENO VORCARO,54331263,54331263000102,MASTER HOLDING FINANCEIRA S.A.,6461100,2,10
DANIEL BUENO VORCARO,55757077,55757077000100,MASTER PARTICIPACOES S.A.,6462000,2,10
DANIEL BUENO VORCARO,33923798,33923798000100,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,6421200,2,16
DANIEL BUENO VORCARO,10791605,10791605000100,GESTACAR GESTAO DE NEGOCIOS LTDA,7490104,8,5
DANIEL BUENO VORCARO,06020660,06020660000110,JULICE RODRIGUES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,2,65
DANIEL BUENO VORCARO,11519788,11519788000163,PIRES FOMENTO MERCANTIL LTDA,6491300,8,22
NATALIA BUENO VORCARO ZETTEL,34297745,34297745000186,DISBOL COMERCIO DE ALIMENTOS LTDA,4691500,8,49
NATALIA BUENO VORCARO ZETTEL,35682945,35682945000115,TIGRE PARTICIPACOES LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,35676100,35676100000117,VG EMPREENDIMENTOS IMOBILIARIOS LTDA.,6810201,2,5
NATALIA BUENO VORCARO ZETTEL,44097810,44097810000183,NZ CONSULTORIA LTDA.,7490104,2,49
NATALIA BUENO VORCARO ZETTEL,51316634,51316634000199,ITUPEVA HOLDING LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,54805637,54805637000184,RETIRO DOS INCONFIDENTES PARTICIPACOES LTDA,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,31108730,31108730000134,TETUM EMPREENDIMENTOS IMOBILIARIOS LTDA.,6810201,2,5
NATALIA BUENO VORCARO ZETTEL,47396082,47396082000107,CAPITAO INVESTIMENTOS LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,10488067,10488067000170,CASA MASTER IMOVEIS LTDA,6821801,4,49
NATALIA BUENO VORCARO ZETTEL,15261295,15261295000127,MGI DESENVOLVIMENTO IMOBILIARIO SPE S.A.,4110700,2,16
NATALIA BUENO VORCARO ZETTEL,29415135,29415135000108,BF INDUSTRIA E COMERCIO DE CONFECCOES LTDA,4781400,8,49
NATALIA BUENO VORCARO ZETTEL,31645490,31645490000107,CONCORDIA HOLDING LTDA.,6463800,2,5
NATALIA BUENO VORCARO ZETTEL,40247837,40247837000154,FARMASERV SOLUCOES EM SERVICOS LTDA,7319002,2,49
NATALIA BUENO VORCARO ZETTEL,17698517,17698517000107,RALIN PARTICIPACOES LTDA,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,22931629,22931629000198,FOCUS PARTICIPACOES LTDA,6463800,2,5
NATALIA BUENO VORCARO ZETTEL,23004650,23004650000100,WE PARTICIPACOES LTDA,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,32816870,32816870000120,L.P. DE MELLO VESTUARIO LTDA,4781400,2,49
NATALIA BUENO VORCARO ZETTEL,45637249,45637249000140,STARMED ATIVIDADES MEDICAS LTDA,8610102,2,22
NATALIA BUENO VORCARO ZETTEL,51316626,51316626000142,TRANCOSO MG HOLDING LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,54805606,54805606000123,PORTAL TRIBECA PARTICIPACOES LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,05659704,05659704000194,C E TRANSPORTES LTDA,4930202,8,5
NATALIA BUENO VORCARO ZETTEL,35274280,35274280000100,CLIX NET LTDA,6190699,8,49
NATALIA BUENO VORCARO ZETTEL,37259378,37259378000114,CONCORDIA TOWER EMPREENDIMENTOS IMOBILIARIOS S.A.,6810201,2,10
NATALIA BUENO VORCARO ZETTEL,37030471,37030471000152,SANTA LUCIA EMPRENDIMENTOS IMOBILIARIOS E PARTICIPACOES LTDA,6810201,2,5
NATALIA BUENO VORCARO ZETTEL,54811342,54811342000110,VALE DO OURO PARTICIPACOES LTDA,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,63346956,63346956000160,BF STORE LTDA,4781400,2,49
NATALIA BUENO VORCARO ZETTEL,08712395,08712395000167,LIMPA TUDO COMERCIO DE DOMISSANITARIOS LTDA,4789005,2,49
NATALIA BUENO VORCARO ZETTEL,37000065,37000065000147,NA PARTICIPACOES LTDA.,7490104,2,49
NATALIA BUENO VORCARO ZETTEL,28670901,28670901000100,NV CONSULTORIA EIRELI,8211300,8,65
NATALIA BUENO VORCARO ZETTEL,52004031,52004031000114,M. ALVES LOCACOES LTDA.,7733100,2,49
NATALIA BUENO VORCARO ZETTEL,54810617,54810617000100,IMPERIAL QUATRO ESTACOES PARTICIPACOES LTDA,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,50836977,50836977000111,ARTEMIS BH LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,05439513,05439513000117,JL INDUSTRIA E COMERCIO LTDA,1111901,2,30
NATALIA BUENO VORCARO ZETTEL,07563796,07563796000130,EPHESUS EMPREENDIMENTOS E PARTICIPACOES LTDA.,6810201,2,5
NATALIA BUENO VORCARO ZETTEL,15115726,15115726000147,JLD FOMENTO MERCANTIL LTDA,6491300,8,5
NATALIA BUENO VORCARO ZETTEL,34751797,34751797000180,O3 CLEAN ESTETICA AUTOMOTIVA LTDA,4520005,8,49
NATALIA BUENO VORCARO ZETTEL,42329221,42329221000158,CAETE PARTICIPACOES LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,50306599,50306599000164,TMFMC SERVICOS MEDICOS LTDA,8630503,2,49
NATALIA BUENO VORCARO ZETTEL,56633774,56633774000104,CONFERLOG LOGISTICA LTDA,4930202,2,49
NATALIA BUENO VORCARO ZETTEL,10579371,10579371000123,SIM PLANET SISTEMA DE INFORMATICA E MONITORAMENTO LTDA,9511800,8,22
NATALIA BUENO VORCARO ZETTEL,22757577,22757577000185,PRIME BUSINESS PARTICIPACOES LTDA,6810201,2,5
NATALIA BUENO VORCARO ZETTEL,50837021,50837021000134,CITTA PARTICIPACOES LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,53329533,53329533000188,JESSICA GALVAO HEIM SERVICOS MEDICOS LTDA,8610102,2,49
NATALIA BUENO VORCARO ZETTEL,54810665,54810665000190,JARDINS BH PARTICIPACOES LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,13563524,13563524000132,CONFECCOES CONTIN LTDA,1412603,8,22
NATALIA BUENO VORCARO ZETTEL,19936735,19936735000150,ROGUE PARTICIPACOES S.A.,6463800,2,10
NATALIA BUENO VORCARO ZETTEL,15261285,15261285000191,MINAS GERAIS II DESENVOLVIMENTO IMOBILIARIO S.A.,4110700,2,16
NATALIA BUENO VORCARO ZETTEL,26043370,26043370000108,CP CONCORDIA PARTICIPACOES SPE LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,26280001,26280001000120,VTS GESTAO DE NEGOCIOS LTDA.,6022502,2,5
NATALIA BUENO VORCARO ZETTEL,37027303,37027303000108,AFH VILA DA SERRA EMPREENDIMENTOS IMOBILIARIOS LTDA,6810201,2,5
NATALIA BUENO VORCARO ZETTEL,37374064,37374064000162,MULTIPAR INVESTIMENTOS LTDA.,6612605,2,5
NATALIA BUENO VORCARO ZETTEL,47887226,47887226000110,DUPLO R ALIMENTACAO LTDA,4722901,8,49
NATALIA BUENO VORCARO ZETTEL,19672633,19672633000174,CAIXA ESCOLAR PERMIO FIALHO DE OLIVEIRA,9430800,2,16
NATALIA BUENO VORCARO ZETTEL,02702560,02702560000113,BICICLETAS & CIA COMERCIO LTDA,4763603,2,49
NATALIA BUENO VORCARO ZETTEL,26649268,26649268000142,ZEUS BH PARTICIPACOES LTDA.,6463800,2,5
NATALIA BUENO VORCARO ZETTEL,50836887,50836887000120,CASA INCONFIDENTES PARTICIPACOES LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,54883094,54883094000113,SOUL HOLDING LTDA.,6462000,2,5
NATALIA BUENO VORCARO ZETTEL,55692795,55692795000138,CARA AZUL ESPETERIA LTDA,5611201,2,22
ALINE BUENO RIBEIRO VORCARO,48859272,48859272000178,BACHIN SERVICOS MEDICOS LTDA,8630503,2,49
ALINE BUENO RIBEIRO VORCARO,03002107,03002107000167,POSTO VIA NORTE LTDA,4731800,8,22
ALINE BUENO RIBEIRO VORCARO,08765875,08765875000196,ISB - INSTITUTO DE SAUDE BARCELOS LTDA.,8610101,8,49
ALINE BUENO RIBEIRO VORCARO,14717795,14717795000168,TIA JAQUE QUITANDAS E CAFE LTDA,4729699,4,49
ALINE BUENO RIBEIRO VORCARO,31992106,31992106000142,BAR DO CANAO LTDA,5611205,2,49
ALINE BUENO RIBEIRO VORCARO,05390803,05390803000113,ADIEL MATERIAIS DE CONSTRUCAO LTDA,4744099,8,49
ALINE BUENO RIBEIRO VORCARO,19096270,19096270000176,A MANTIQUEIRA LTDA,4759801,2,49
ALINE BUENO RIBEIRO VORCARO,17222662,17222662000109,HOSPITAL JUSCELINO KUBISTCHEK LTDA,8610101,8,49
ALINE BUENO RIBEIRO VORCARO,04343781,04343781000178,INOVACAO TECNOLOGIA LTDA,6209100,2,49
ALINE BUENO RIBEIRO VORCARO,01638927,01638927000114,NOVA MAGAZINE ENXOVAIS LTDA,4755503,8,22
ALINE BUENO RIBEIRO VORCARO,08489045,08489045000183,VALENTINI CALCADOS E ACESSORIOS SAOJOANENSE LTDA,4782201,8,22
ALINE BUENO RIBEIRO VORCARO,12954721,12954721000110,CLINICA BACHIN LTDA,8630501,2,49
ALINE BUENO RIBEIRO VORCARO,42488567,42488567000107,ABV PARTICIPACOES LTDA.,6462000,2,49
ALINE BUENO RIBEIRO VORCARO,01953472,01953472000121,BRUNO GERDI COMERCIAL LTDA,4755502,8,49
ALINE BUENO RIBEIRO VORCARO,08248741,08248741000106,ASSOCIACAO COMUNITARIA JACARE,9430800,2,16
ALINE BUENO RIBEIRO VORCARO,04969262,04969262000110,LAGOA ENXOVAIS LTDA,4755503,8,22
ALINE BUENO RIBEIRO VORCARO,00921250,00921250000164,KDBRASOL AQUECEDORES SOLARES LTDA,2821601,8,49
ALINE BUENO RIBEIRO VORCARO,08301973,08301973000172,COMISSAO PROVISORIA DO PTC JAIBA,9492800,8,16
ALINE BUENO RIBEIRO VORCARO,08978286,08978286000196,EFAJ CONSULTORIA E ASSESSORIA EM INFORMATICA LTDA,6201501,2,49
ALINE BUENO RIBEIRO VORCARO,11845474,11845474000150,PHENIX TRANSPORTE RODOVIARIO DE CARGAS LTDA,4930202,8,49
ALINE BUENO RIBEIRO VORCARO,37644570,37644570000124,3 L CONSERVADORA E SERVICOS LTDA,8111700,2,49
ALINE BUENO RIBEIRO VORCARO,34175510,34175510000111,CLUBE DE TIRO TACTICAL PARAISO VGP LTDA,9312300,2,49
ALINE BUENO RIBEIRO VORCARO,44174031,44174031000134,PATIO DE VEICULOS VGP LTDA,5223100,2,49
ALINE BUENO RIBEIRO VORCARO,05582009,05582009000171,BAR E LANCHONETE ESQUINAO DA BAHIA LTDA,4723700,8,49
ALINE BUENO RIBEIRO VORCARO,02672950,02672950000198,ESCOLA INFANTIL ESTRELINHAS SORRIDENTES LTDA,8512100,8,49
ALINE BUENO RIBEIRO VORCARO,05448614,05448614000154,BORGES E KAISER COMERCIO DE FLORES LTDA,4789002,8,49
ALINE BUENO RIBEIRO VORCARO,50411366,50411366000121,LX ACESSORIOS E ELETRONICOS LTDA,4713002,2,49
ALINE BUENO RIBEIRO VORCARO,04225153,04225153000198,INOVACAO COMPUTACAO MOVEL LTDA,6202300,2,22
ALINE BUENO RIBEIRO VORCARO,08335619,08335619000169,COMERCIAL MAGAZINE CASA BLANCA LTDA,4755503,8,22
ALINE BUENO RIBEIRO VORCARO,05476132,05476132000108,L. SANTOS ELETRICIDADE LTDA,9512600,8,22
ALINE BUENO RIBEIRO VORCARO,00216657,00216657000190,VIDEOLAPAROSCOPIA DIAGNOSTICA E CIRURGIA DO HOSPITAL SANTA CATARINA LTDA,8640299,8,22
ALINE BUENO RIBEIRO VORCARO,31423746,31423746000131,MADEIREIRA TANQUE LTDA,4744002,2,49
ALINE BUENO RIBEIRO VORCARO,20913943,20913943000112,NOVA INFORMATICA LIMITADA,6209100,4,49
FELIPE CANCADO VORCARO,59118764,59118764000129,TRANCOSO HOLDING LTDA,6462000,2,5
