person,cnpj_basico,cnpj_14,razao_social,cnae_fiscal,situacao_cadastral,qualificacao_socio
FELIPE CANCADO VORCARO,15808115,15808115000184,SW ENTRETENIMENTO LTDA,8230001,2,49
FELIPE CANCADO VORCARO,23406751,23406751000108,OLIVEIRA & REPRESENTACOES LTDA,4617600,2,22
FELIPE CANCADO VORCARO,52968975,52968975000101,TERRA VISTA TRANCOSO XV PARTICIPACOES LTDA,6462000,2,5
FELIPE CANCADO VORCARO,47079549,47079549000187,GESSO MOURA LTDA,4330403,2,49
FELIPE CANCADO VORCARO,03463654,03463654000140,COMERCIAL SALES E ANSELMO LTDA,4729699,8,49
FELIPE CANCADO VORCARO,17392002,17392002000176,EMPREENDIMENTOS DE LOCACAO OLIVEIRA SANTOS LTDA,6810202,2,49
FELIPE CANCADO VORCARO,02702445,02702445000149,IVANILCE DIAS MARTINS E CIA LTDA,9602501,8,49
FELIPE CANCADO VORCARO,07773029,07773029000155,LAND SPIRIT PRODUCAO DE EVENTOS LTDA,8230002,4,49
FELIPE CANCADO VORCARO,51927939,51927939000137,ESPIRITO DA TERRA DISTANTE BH LTDA,5611205,2,5
FELIPE CANCADO VORCARO,44646049,44646049000191,HIGH LINE NEGOCIOS IMOBILIARIOS LTDA,6810201,8,5
FELIPE CANCADO VORCARO,04625928,04625928000112,DINASTIA FOR MEN LTDA,4781400,2,49
FELIPE CANCADO VORCARO,01698605,01698605000160,ASSOCIACAO EVANGELICA BETEL,6010100,4,16
FELIPE CANCADO VORCARO,15457718,15457718000189,PASTELARIA CHEGA MAIS LTDA,5611203,8,22
FELIPE CANCADO VORCARO,17560396,17560396000124,SOLARIS HOTEIS LTDA,5510802,2,49
FELIPE CANCADO VORCARO,44642790,44642790000184,CONARTES TOWER NEGOCIOS IMOBILIARIOS LTDA,6810201,8,5
FELIPE CANCADO VORCARO,52245648,52245648000121,GREEN HOLDING LTDA,6462000,2,49
FELIPE CANCADO VORCARO,52416916,52416916000120,ASSET ENERGY HOLDING LTDA,6462000,2,49
FELIPE CANCADO VORCARO,17157694,17157694000178,CONTABILIDADE CHIARATO LIMITADA,6920601,2,49
FELIPE CANCADO VORCARO,45317977,45317977000175,MARAU NEGOCIOS IMOBILIARIOS LTDA,6810201,2,5
FELIPE CANCADO VORCARO,55944387,55944387000126,ESTER FERREIRA FELIPE SERVICOS LTDA,6821801,2,49
FELIPE CANCADO VORCARO,58519689,58519689000145,JBLS HOLDING LTDA,6462000,2,49
FELIPE CANCADO VORCARO,65922172,65922172000168,INFRASOLAR HOLDING LTDA.,6462000,2,22
FELIPE CANCADO VORCARO,20790342,20790342000160,DINASTIA EMPREENDIMENTOS IMOBILIARIOS LTDA,4120400,2,49
FELIPE CANCADO VORCARO,21996835,21996835000113,FMRL SERVICOS MEDICOS LTDA,8650099,2,49
