ano,mes,id_contrato,objeto,fundamento_legal,modalidade,situacao_contrato,id_orgao_superior,nome_orgao_superior,id_orgao,nome_orgao,id_unidade_gestora,nome_unidade_gestora,data_assinatura_contrato,data_publicacao_dou,data_inicio_vigencia,data_fim_vigencia,cpf_cnpj_contratado,nome_contratado,id_licitacao,id_unidade_gestora_licitacao,nome_unidade_gestora_licitacao,id_modalidade_licitacao,modalidade_licitacao,valor_inicial_compra,valor_final_compra
2024,5,112024,"Objeto: CREDENCIAMENTO DE ENTIDADE PROPONENTE COMO ENTIDADE CONSIGNATÁRIA DE CATEGORIA II OU III, PARA A REALIZAÇÃO DE DESCONTO EM FOLHA DE PAGAMENTO DECORRENTES DE COMPROMISSOS ASSUMIDOS PELOS MILITARES ATIVOS E INATIVOS E SEUS PENSIONISTAS, DORAVANTE DESIGNADOS CONSIGNANTES, CUJA ADESÃO SERÁ VOLUNTÁRIA E DE SUA EXCLUSIVA RESPONSABILIDADE, RELATIVAMENTE ÀS NATUREZAS DE DESCONTOS EXTERNOS EMPRÉSTIMO PESSOAL E CARTÃO DE CRÉDITO, DE BENEFÍCIOS OU DE VANTAGENS, ELENCADA NO § 2º DO ART. 4º DA PORTARIA Nº 278/GC4, DE 20",,Sem Informação,Não se aplica,52000,Ministério da Defesa,52111,Comando da Aeronáutica,120195,CENTRO DE AQUISICOES ESPECIFICAS,2024-04-18,2024-05-16,2024-04-18,2029-04-18,33923798000100,BANCO MASTER S/A,-3,,,,,1.0,1.0
2016,12,1042016,"Objeto: CONTATAÇÃO DE EMPRESA PARA A PRESTAÇÃODE SERVIÇOS DE ANÁLISE, DESENVOLVIMENTO E VALIDAÇÃO DE SOFTWARE PARA O CENTRO DE RADIOFARMÁCIA DO IPEN-CNEN/SP.",Fundamento Legal: ART. 23-II-B DA LEI 8666/93.,Tomada de Preços,Não se aplica,24000,"Ministério da Ciência, Tecnologia e Inovaç",20301,Comissão Nacional de Energia Nuclear,113202,COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,2016-12-01,2016-12-15,2016-12-01,2021-12-01,08978286000196,EFAJ CONSULTORIA E ASSESSORIA EM INFORMATICA LTDA,152016,113202.0,COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,2.0,Tomada de Preços,230000.0,244467.0
2015,5,82015,"Objeto: Contratação de empresa para a prestação de serviços de levantamento, análise, desenvolvimento, implantação e treinamento de software de gestão do Centro de Radiofarmácia da CNEN/IPEN.",Fundamento Legal: Lei 8.666/93 e Decreto 5.450/05.,Pregão,Publicado,24000,"Ministério da Ciência, Tecnologia e Inovaç",20301,Comissão Nacional de Energia Nuclear,113202,COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,2015-05-18,2015-05-20,2015-05-18,2016-05-17,08978286000196,EFAJ CONSULTORIA E ASSESSORIA EM INFORMATICA LTDA,1302014,113202.0,COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,5.0,Pregão,172500.0,172500.0
